"Longitude","Latitude","SurfT_C"
-157.8617,21.4133,295
-156.82,21.1233,295
-156.8017,21.1117,294
-156.8717,20.8167,296
-157.9208,21.535,294
-157.8,21.3467,295
-158.0917,21.46,298
-157.755,21.32,295
-157.8,21.375,295
-157.9833,21.5333,297
-155.2833,19.4,308
-156.8817,20.8317,297
-157.9283,21.565,294
-157.875,21.5533,296
-155.1333,19.3317,302
-157.92,21.5283,294
-157.9,21.3967,298
-156.825,21.1217,294
-156.5783,20.925,293
-157.8917,21.48,295
-156.87,20.81,296
-158.155,21.5,296
-158.0783,21.41,296
-158.145,21.5267,295
-157.9,21.5,295
-158.1817,21.5067,297
-156.8017,21.1117,294
-157.7633,21.29,300
-156.8667,20.89,303
-155.2967,19.4117,308
-155.2217,19.44,294
-155.7917,19.1267,298
-156.0417,20.7133,295
-155.1917,19.4533,295
-155.1617,19.3667,303
-155.1917,19.45,295
-155.225,19.44,294
-155.2433,19.415,300
-155.6983,20.16,295
-155.5833,19.9833,300
-155.3167,19.4233,303
-156.08,20.7417,292
-155.2617,19.3867,306
-155.2383,19.7133,295
-155.9167,19.6067,297
-155.2433,19.415,300
-155.195,19.4533,294
-155.7617,20.1117,296
-155.2383,19.705,295
-155.6333,19.0667,298
-156.575,20.9333,293
-155.7317,20.165,295
-155.7283,20.14,294
-156.575,20.9233,293
-155.22,19.3783,298
-155.1583,19.3717,299
-155.3167,19.4217,303
-155.2833,19.4,308
-156.575,20.9233,293
-155.25,19.4333,297
-155.1517,19.375,299
-155.3017,19.4367,302
-155.2517,19.3983,302
-155.2183,19.44,295
-155.9033,19.5783,295
-155.8033,19.1333,297
-156.05,20.7167,295
-156.0583,20.7167,294
-156.0667,20.7083,294
-156.0483,20.715,295
-156.05,20.7083,294
-156.0667,20.7167,294
-155.8,19.145,297
-157.9,21.3967,298
-157.8967,21.4983,295
-157.7983,21.345,295
-157.8683,21.4417,294
-159.4617,22.06,295
-159.4617,22.06,295
-157.9383,21.5333,295
-159.5167,21.975,295
-157.975,21.5517,296
-157.9217,21.5333,294
-157.8975,21.4967,295
-159.5333,21.9533,298
-157.9067,21.4733,295
-159.5133,21.9767,295
-159.5933,22.1833,294
-157.9167,21.5733,294
-157.9033,21.4733,295
-157.7867,21.3383,294
-157.86,21.5,296
-157.9183,21.5717,294
-157.8583,21.55,296
-157.91,21.4733,295
-157.82,21.37,295
-157.8917,21.4817,295
-157.9067,21.52,295
-159.5117,21.9767,295
-157.7983,21.3433,295
-157.915,21.5683,294
-157.9117,21.5717,294
-159.5717,22.1533,294
-157.9267,21.5333,295
-155.395,19.8,307
-155.6433,19.845,303
-155.64,19.8567,302
-155.5633,19.8367,300
-155.4667,19.8,304
-155.45,19.75,305
-155.7917,19.4267,294
-155.4817,19.97,297
-155.6533,19.8617,303
-155.455,19.76,306
-158.115,21.4733,297
-159.6867,22.12,295
-155.65,19.8567,303
-158.1433,21.5067,294
-155.9417,19.71,297
-157.7633,21.29,300
-155.2817,19.3267,309
-155.2833,19.4333,301
-156.2792,20.8369,300
-155.6533,19.8617,303
-155.6533,19.8617,303
-156.33,20.7617,302
-155.4917,19.6967,304
-156.2342,20.7369,295
-156.3028,20.7217,295
-155.535,20.0367,298
-155.5933,19.8333,301
-155.5933,19.8333,301
-155.5933,19.8333,301
-156.8967,21.1583,294
-159.5002,21.8937,300
-159.5517,22.16,295
-157.9117,21.405,298
-158.025,21.5567,300
-157.8,21.34,295
-157.9067,21.5867,294
-156.6339,21.0142,296
-157.8017,21.315,299
-156.9,20.8517,302
-156.8333,21.143,293
-157.8867,21.5033,294
-159.58,22.02,299
-157.9167,21.5,295
-159.5167,21.9667,295
-159.5833,22.2,295
-158.0567,21.4733,300
-158.0567,21.4733,300
-157.8083,21.3333,297
-154.8667,19.5333,298
-155.91,19.4433,301
-155.3667,20,295
-157.9,21.5833,295
-157.8,21.35,295
-159.595,22.2067,295
-157.9533,21.47,298
-158.0833,21.4667,295
-159.4,21.925,296
-158.0867,21.45,296
-156.86,20.7967,298
-157.775,21.3883,300
-156.8033,21.1167,295
-156.9017,20.8617,302
-155.6967,20.16,295
-156.8583,20.7967,298
-157.8917,21.4817,295
-157.9417,21.47,297
-158.1767,21.54,296
-157.8867,21.405,296
-156.8333,21.143,293
-157.8117,21.35,295
-155.615,20.0867,296
-159.4217,22.0717,296
-156.75,21.1533,294
-154.85,19.5167,298
-159.3333,22,301
-157.85,21.3,304
-157.8617,21.3067,304
-157.8,21.3333,296
-159.5967,22.2067,295
-155.8883,19.4417,302
-156.1867,20.8783,296
-156.65,20.8933,304
-156.075,20.6833,293
-155.18,19.3633,307
-155.3717,19.3833,304
-156.0467,20.7133,295
-159.5017,22.14,294
-159.5833,22.1167,292
-159.6267,22.13,293
-156.9167,21.1267,293
-156.91,21.1167,294
-156.6,20.9,295
-159.5567,22.0917,292
-159.5167,21.9717,295
-159.5967,22.1583,292
-159.6233,22.125,293
-156.9117,21.12,293
